SZ,YOUNG,ACTIVE,OLD,TOTAL
Ang Mo Kio Town Centre,1280,2760,780,4820
Cheng San,5630,16420,6030,28080
Chong Boon,5080,14980,6440,26500
Kebun Bahru,4600,12950,5080,22630
Sembawang Hills,1880,3650,1320,6850
Shangri-La,3320,9070,3570,15960
Tagore,1950,4500,1510,7960
Townsville,4160,11930,5060,21150
Yio Chu Kang East,1100,2370,720,4190
Yio Chu Kang West,5700,13760,4700,24160
Bayshore,2120,4410,940,7470
Bedok North,17990,47170,16700,81860
Bedok Reservoir,6770,15090,3620,25480
Bedok South,10320,26190,10190,46700
Frankel,9210,19440,5840,34490
Kaki Bukit,8470,22170,6520,37160
Kembangan,8050,21540,7880,37470
Siglap,1340,3440,1680,6460
Bishan East,6150,16620,5530,28300
Marymount,7600,17510,4510,29620
Upper Thomson,6920,16470,6000,29390
Brickworks,6150,12650,1020,19820
Bukit Batok Central,6930,16190,4190,27310
Bukit Batok East,2630,7730,2350,12710
Bukit Batok South,4110,9150,1680,14940
Bukit Batok West,3750,8830,2430,15010
Gombak,2640,5760,1530,9930
Guilin,3230,7830,1880,12940
Hillview,5270,11500,2540,19310
Hong Kah North,6130,15960,4060,26150
Alexandra Hill,2780,7300,3420,13500
Alexandra North,730,1730,170,2630
Bukit Ho Swee,2710,8060,3620,14390
Bukit Merah,270,580,270,1120
Depot Road,1690,3790,1060,6540
Everton Park,1460,4460,1890,7810
Henderson Hill,2570,7440,3340,13350
Kampong Tiong Bahru,1580,4890,2540,9010
Maritime Square,910,2250,490,3650
Redhill,2760,6150,1710,10620
Telok Blangah Drive,4220,11330,3780,19330
Telok Blangah Rise,2260,6580,3310,12150
Telok Blangah Way,1690,5180,2350,9220
Tiong Bahru,2790,7510,2600,12900
Tiong Bahru Station,3450,8830,2820,15100
Bangkit,5050,13510,3730,22290
Dairy Farm,2100,4110,730,6940
Fajar,8100,16490,3250,27840
Jelebu,7710,19050,4570,31330
Nature Reserve,1110,2270,500,3880
Saujana,7890,15390,2640,25920
Senja,6160,11810,2200,20170
Anak Bukit,5710,12150,4020,21880
Coronation Road,2110,3490,1110,6710
Farrer Court,1880,3430,860,6170
Hillcrest,2990,5030,1460,9480
Holland Road,3480,5820,1540,10840
Leedon Park,1750,3590,1110,6450
Swiss Club,1530,2890,920,5340
Ulu Pandan,3000,5930,2100,11030
Changi- Total,630,1040,190,1860
Changi Point,100,330,120,550
Changi West,520,740,60,1320
Choa Chu Kang Central,6460,13690,2390,22540
Choa Chu Kang North,9520,19110,3320,31950
Keat Hong,12630,22950,2600,38180
Peng Siang,9780,21020,3930,34730
Teck Whye,5790,14600,3940,24330
Yew Tee,11830,24680,3890,40400
Clementi Central,3160,7790,3060,14010
Clementi North,6190,16150,6480,28820
Clementi West,3450,8710,3120,15280
Clementi Woods,3860,8920,3230,16010
Faber,1740,3040,610,5390
Sunset Way,1300,3070,1300,5670
West Coast,2180,3840,880,6900
Bugis,130,540,230,900
Cecil,40,210,10,260
Central Subzone,170,680,60,910
Nicoll,50,210,30,290
Tanjong Pagar,80,520,90,690
Aljunied,8070,24090,7820,39980
Geylang East,6750,17270,5910,29930
Kampong Ubi,2690,7260,1850,11800
Macpherson,6120,16670,5590,28380
Hougang Central,1090,2840,790,4720
Hougang East,6190,15460,3280,24930
Hougang West,9390,28010,8070,45470
Kangkar,8360,19210,4740,32310
Kovan,6350,14370,4090,24810
Lorong Ah Soo,7080,18820,6430,32330
Tai Seng,3400,7730,2730,13860
Trafalgar,12710,29720,6770,49200
Jurong Gateway,110,310,30,450
Lakeside (Leisure),120,540,410,1070
Teban Gardens,4470,10400,3670,18540
Toh Guan,3450,9020,2150,14620
Yuhua East,5220,14360,5180,24760
Yuhua West,4500,11150,3530,19180
Boon Lay Place,8270,17240,3830,29340
Hong Kah,13020,31470,9400,53890
Jurong West Central,18080,39040,6660,63780
Taman Jurong,11550,23650,4730,39930
Wenya,2640,4770,860,8270
Yunnan,18510,40730,8260,67500
Bendemeer,7980,22060,7520,37560
Boon Keng,2320,6840,2660,11820
Crawford,1250,4520,2620,8390
Geylang Bahru,2170,6530,2590,11290
Kampong Bugis,170,580,180,930
Kampong Java,2210,6090,2240,10540
Lavender,2040,5730,1920,9690
Tanjong Rhu,2860,6640,1600,11100
Lim Chu Kang,40,60,20,120
Mandai Estate,570,1240,270,2080
Katong,2380,5410,1590,9380
Marine Parade,6490,14490,5900,26880
Mountbatten,2610,5690,1690,9990
Dhoby Ghaut,50,260,20,330
Fort Canning,50,130,20,200
Cairnhill,1020,2320,560,3900
Goodwood Park,400,730,150,1280
Monk's Hill,300,600,150,1050
Newton Circus,70,160,20,250
Orange Grove,420,1050,320,1790
Balestier,7220,19020,6200,32440
Dunearn,1150,2060,760,3970
Malcolm,900,1550,540,2990
Moulmein,2900,5350,1040,9290
Mount Pleasant,190,360,140,690
Boulevard,80,230,80,390
Somerset,30,80,10,120
Tanglin,100,220,60,380
China Square,170,820,460,1450
Chinatown,2230,6160,2090,10480
Pearl's Hill,980,3090,2080,6150
People's Park,20,210,80,310
Flora Drive,4010,8860,1810,14680
Loyang East,530,1260,360,2150
Loyang West,0,20,190,210
Pasir Ris Central,9350,19710,3200,32260
Pasir Ris Drive,14630,32910,6900,54440
Pasir Ris Park,2540,4680,420,7640
Pasir Ris West,10670,21610,3520,35800
Matilda,17500,30960,3760,52220
Northshore,130,270,70,470
Punggol Field,15760,28330,4880,48970
Punggol Town Centre,7590,13430,1280,22300
Waterway East,17340,29820,3430,50590
Commonwealth,1180,4020,1820,7020
Dover,2820,6180,2100,11100
Ghim Moh,3160,7490,3190,13840
Holland Drive,2070,7110,3490,12670
Margaret Drive,4280,9340,2480,16100
Mei Chin,3420,8890,3270,15580
National University Of S'pore,150,110,0,260
One North,200,490,30,720
Pasir Panjang 1,1120,2790,610,4520
Pasir Panjang 2,720,1750,590,3060
Port,20,70,20,110
Queensway,50,180,50,280
Tanglin Halt,1980,5990,2640,10610
Institution Hill,920,1910,330,3160
Leonie Hill,770,2010,350,3130
One Tree Hill,490,1220,360,2070
Oxley,310,900,260,1470
Paterson,60,170,20,250
Bencoolen,220,810,300,1330
Farrer Park,530,1570,550,2650
Kampong Glam,0,70,40,110
Little India,590,1840,840,3270
Mackenzie,20,80,0,100
Mount Emily,350,1160,120,1630
Selegie,40,110,60,210
Sungei Road,440,1090,530,2060
Victoria,220,1000,540,1760
Seletar,90,150,30,270
Admiralty,4200,8280,1460,13940
Sembawang Central,10350,21340,3140,34830
Sembawang East,5280,11110,960,17350
Sembawang North,7760,15260,2540,25560
Sembawang Springs,2790,5460,870,9120
Sembawang Straits,580,1110,230,1920
Anchorvale,15610,28400,4120,48130
Compassvale,6480,12660,1830,20970
Fernvale,19240,34540,5030,58810
Rivervale,17240,35530,6930,59700
Sengkang Town Centre,18160,37330,6330,61820
Lorong Chuan,2340,4850,1320,8510
Seletar Hills,3830,8150,2730,14710
Serangoon Central,4950,14700,5090,24740
Serangoon Garden,7780,20180,8120,36080
Serangoon North,4100,9570,2270,15940
Upper Paya Lebar,3790,10150,2990,16930
Boat Quay,0,70,40,110
Clarke Quay,40,80,10,130
Robertson Quay,840,1910,270,3020
Sentosa,550,1250,130,1930
Turf Club,160,370,150,680
Simei,9810,23740,5900,39450
Tampines East,32610,78200,20200,131010
Tampines North,2380,4940,740,8060
Tampines West,20860,47600,11220,79680
Xilin,440,1090,220,1750
Chatsworth,1770,4190,930,6890
Nassim,2920,5260,1360,9540
Ridout,400,840,280,1520
Tyersall,1050,2200,650,3900
Boon Teck,3150,8120,3410,14680
Braddell,2230,5470,2120,9820
Joo Seng,1870,4840,1450,8160
Kim Keat,1490,4660,1820,7970
Lorong 8 Toa Payoh,1300,3990,1880,7170
Pei Chun,2170,5860,2330,10360
Potong Pasir,2300,6830,2600,11730
Sennett,1810,4190,1190,7190
Toa Payoh Central,6670,16210,5140,28020
Toa Payoh West,2710,8200,3460,14370
Woodleigh,690,1460,310,2460
Murai,250,380,10,640
Midview,11040,20940,3290,35270
North Coast,2740,7160,2210,12110
Woodgrove,9650,20630,3540,33820
Woodlands East,31150,59640,8200,98990
Woodlands South,13640,23870,3510,41020
Woodlands West,8810,20230,4880,33920
Khatib,2060,6410,1790,10260
Lower Seletar,6780,10990,890,18660
Nee Soon,240,520,150,910
Northland,6710,17180,4120,28010
Springleaf,1170,2420,780,4370
Yishun Central,670,1650,340,2660
Yishun East,18220,36580,5870,60670
Yishun South,10130,25910,6210,42250
Yishun West,12410,32710,8780,53900
